# RaceRender Data: TrackAddict 2.6.3 on iOS 8.0 [iPhone5,2] (Mode:0, Device_Orientation:4)
# End Point: 46.420105, -94.276219  @ -1.00 deg
"Time","Lap","GPS_Update","GPS_Delay","Accuracy (m)","Latitude","Longitude","Altitude (m)","Speed (MPH)","Heading","X","Y","Z"
0.035,0,0,0.000,5.0,46.4208128,-94.2768228,372,0.0,133.6,0.00,-0.00,0.00
0.094,0,0,0.000,5.0,46.4208128,-94.2768228,372,0.0,133.6,-0.01,-0.07,-0.00
0.133,0,0,0.000,5.0,46.4208128,-94.2768228,372,0.0,133.6,0.01,-0.08,0.00
0.193,0,0,0.000,5.0,46.4208128,-94.2768228,372,0.0,133.6,-0.01,-0.17,-0.01
0.232,0,0,0.000,5.0,46.4208128,-94.2768228,372,0.0,133.6,-0.01,-0.14,-0.04
0.291,0,0,0.000,5.0,46.4208128,-94.2768228,372,0.0,133.6,-0.03,-0.20,-0.03
0.331,0,0,0.000,5.0,46.4208128,-94.2768228,372,0.0,133.6,0.01,-0.15,-0.04
0.389,0,0,0.000,5.0,46.4208128,-94.2768228,372,0.0,133.6,0.01,-0.14,-0.02
0.429,0,0,0.000,5.0,46.4208128,-94.2768228,372,0.0,133.6,0.02,-0.14,0.00
0.488,0,0,0.000,5.0,46.4208128,-94.2768228,372,0.0,133.6,0.02,-0.10,-0.00
0.527,0,0,0.000,5.0,46.4208128,-94.2768228,372,0.0,133.6,0.03,-0.14,-0.06
0.540,0,1,0.000,5.0,46.4208128,-94.2768228,372,0.0,133.6,0.03,-0.14,-0.06
0.587,0,0,0.000,5.0,46.4208128,-94.2768228,372,0.0,133.6,0.04,-0.14,-0.02
0.626,0,0,0.000,5.0,46.4208128,-94.2768228,372,0.0,133.6,0.08,-0.14,-0.08
0.685,0,0,0.000,5.0,46.4208128,-94.2768228,372,0.0,133.6,0.08,-0.17,-0.01
0.724,0,0,0.000,5.0,46.4208128,-94.2768228,372,0.0,133.6,0.05,-0.11,-0.02
0.783,0,0,0.000,5.0,46.4208128,-94.2768228,372,0.0,133.6,0.05,-0.16,0.03
0.823,0,0,0.000,5.0,46.4208128,-94.2768228,372,0.0,133.6,0.06,-0.15,-0.01
0.884,0,0,0.000,5.0,46.4208128,-94.2768228,372,0.0,133.6,0.04,-0.16,0.00
0.921,0,0,0.000,5.0,46.4208128,-94.2768228,372,0.0,133.6,0.06,-0.13,0.01
0.980,0,0,0.000,5.0,46.4208128,-94.2768228,372,0.0,133.6,0.06,-0.14,0.01
1.020,0,0,0.000,5.0,46.4208128,-94.2768228,372,0.0,133.6,0.08,-0.12,-0.05
1.078,0,0,0.000,5.0,46.4208128,-94.2768228,372,0.0,133.6,0.08,-0.10,-0.03
1.118,0,0,0.000,5.0,46.4208128,-94.2768228,372,0.0,133.6,0.09,-0.10,-0.00
1.177,0,0,0.000,5.0,46.4208128,-94.2768228,372,0.0,133.6,0.09,-0.10,-0.01
1.217,0,0,0.000,5.0,46.4208128,-94.2768228,372,0.0,133.6,0.11,-0.10,-0.03
1.275,0,0,0.000,5.0,46.4208128,-94.2768228,372,0.0,133.6,0.11,-0.10,-0.04
1.315,0,0,0.000,5.0,46.4208128,-94.2768228,372,0.0,133.6,0.12,-0.09,-0.03
1.374,0,0,0.000,5.0,46.4208128,-94.2768228,372,0.0,133.6,0.12,-0.10,-0.02
1.413,0,0,0.000,5.0,46.4208128,-94.2768228,372,0.0,133.6,0.11,-0.10,-0.00
1.472,0,0,0.000,5.0,46.4208128,-94.2768228,372,0.0,133.6,0.11,-0.11,-0.00
1.512,0,0,0.000,5.0,46.4208128,-94.2768228,372,0.0,133.6,0.12,-0.11,-0.02
1.539,0,1,0.000,5.0,46.4208128,-94.2768228,372,0.0,133.6,0.12,-0.10,-0.01
1.590,0,0,0.000,5.0,46.4208128,-94.2768228,372,0.0,133.6,0.12,-0.11,0.01
1.630,0,0,0.000,5.0,46.4208128,-94.2768228,372,0.0,133.6,0.13,-0.10,0.02
1.689,0,0,0.000,5.0,46.4208128,-94.2768228,372,0.0,133.6,0.13,-0.11,0.02
1.728,0,0,0.000,5.0,46.4208128,-94.2768228,372,0.0,133.6,0.14,-0.11,0.03
1.787,0,0,0.000,5.0,46.4208128,-94.2768228,372,0.0,133.6,0.15,-0.13,-0.05
1.827,0,0,0.000,5.0,46.4208128,-94.2768228,372,0.0,133.6,0.16,-0.10,-0.05
1.886,0,0,0.000,5.0,46.4208128,-94.2768228,372,0.0,133.6,0.15,-0.14,0.06
1.925,0,0,0.000,5.0,46.4208128,-94.2768228,372,0.0,133.6,0.11,-0.09,-0.03
1.984,0,0,0.000,5.0,46.4208128,-94.2768228,372,0.0,133.6,0.04,-0.05,-0.33
2.024,0,0,0.000,5.0,46.4208128,-94.2768228,372,0.0,133.6,0.05,-0.04,-0.49
