# RaceRender Data: TrackAddict 2.6.3 on iOS 8.0 [iPhone5,2] (Mode:0, Device_Orientation:4)
# End Point: 46.420105, -94.276219  @ -1.00 deg
"Time","Lap","GPS_Update","GPS_Delay","Accuracy (m)","Latitude","Longitude","Altitude (m)","Speed (MPH)","Heading","X","Y","Z"
0.048,0,0,0.000,10.0,46.4211471,-94.2789736,370,32.5,118.9,-0.20,1.17,-1.25
0.107,0,0,0.000,10.0,46.4211471,-94.2789736,370,32.5,118.9,-0.16,1.17,-1.23
0.146,0,0,0.000,10.0,46.4211471,-94.2789736,370,32.5,118.9,-0.06,1.13,-1.21
0.205,0,0,0.000,10.0,46.4211471,-94.2789736,370,32.5,118.9,0.48,0.63,-1.15
0.245,0,0,0.000,10.0,46.4211471,-94.2789736,370,32.5,118.9,0.65,0.49,-1.08
0.304,0,0,0.000,10.0,46.4211471,-94.2789736,370,32.5,118.9,0.57,0.60,-1.09
0.343,0,0,0.000,10.0,46.4211471,-94.2789736,370,32.5,118.9,-0.08,0.83,-1.25
0.402,0,0,0.000,10.0,46.4211471,-94.2789736,370,32.5,118.9,-0.25,1.00,-1.15
0.417,0,1,0.000,10.0,46.4210651,-94.2787569,370,28.4,118.8,0.28,0.76,-1.09
0.461,0,0,0.000,10.0,46.4210651,-94.2787569,370,28.4,118.8,0.60,0.57,-1.01
0.501,0,0,0.000,10.0,46.4210651,-94.2787569,370,28.4,118.8,0.74,0.44,-1.16
0.560,0,0,0.000,10.0,46.4210651,-94.2787569,370,28.4,118.8,0.66,0.46,-0.93
0.600,0,0,0.000,10.0,46.4210651,-94.2787569,370,28.4,118.8,0.41,0.68,-1.08
0.659,0,0,0.000,10.0,46.4210651,-94.2787569,370,28.4,118.8,-0.10,1.04,-1.29
0.698,0,0,0.000,10.0,46.4210651,-94.2787569,370,28.4,118.8,0.02,0.93,-1.22
0.757,0,0,0.000,10.0,46.4210651,-94.2787569,370,28.4,118.8,0.61,0.53,-1.06
0.797,0,0,0.000,10.0,46.4210651,-94.2787569,370,28.4,118.8,0.74,0.47,-1.04
0.856,0,0,0.000,10.0,46.4210651,-94.2787569,370,28.4,118.8,0.02,1.07,-1.21
0.895,0,0,0.000,10.0,46.4210651,-94.2787569,370,28.4,118.8,-0.07,1.17,-1.19
